"","companyname","companylevel","pricechange"
"1","Housing Development Finance Corporation Ltd","2,507","0.05%"
"2","Bajaj Finance Ltd","7,155","-0.72%"
"3","Cipla Ltd","1,159","-1.28%"
"4","State Bank Of India","574.0","-0.49%"
"5","Titan Company Ltd","2,724","-1.05%"
"6","Dr. Reddys Laboratories Ltd","4,556","0.35%"
"7","HDFC Bank Ltd","1,514","-0.01%"
"8","Hero MotoCorp Ltd","2,642","-1.05%"
"9","Infosys Ltd","1,552","-1.29%"
"10","JSW Steel Ltd","684.5","-0.27%"
"11","Kotak Mahindra Bank Ltd","1,910","0.04%"
"12","Grasim Industries Ltd","1,761","-0.09%"
"13","Oil & Natural Gas Corporation Ltd","136.5","1.00%"
"14","Reliance Industries Ltd","2,545","0.62%"
"15","Hindalco Industries Ltd","421.1","1.64%"
"16","Tata Steel Ltd","101.2","0.00%"
"17","Larsen & Toubro Ltd","2,013","-0.60%"
"18","Mahindra & Mahindra Ltd","1,353","-0.10%"
"19","Bharat Petroleum Corporation Ltd","305.1","0.30%"
"20","Tata Motors Ltd","422.1","0.14%"
"21","Hindustan Unilever Ltd","2,517","-1.31%"
"22","Nestle India Ltd","20,388","-0.99%"
"23","Tata Consumer Products Ltd","768.0","-0.86%"
"24","Asian Paints Ltd","3,131","-0.82%"
"25","Britannia Industries Ltd","3,724","-1.62%"
"26","ITC Ltd","354.4","1.43%"
"27","Eicher Motors Ltd","3,728","-1.85%"
"28","Wipro Ltd","393.9","0.37%"
"29","Apollo Hospitals Enterprise Ltd","4,382","-2.81%"
"30","UPL Ltd","717.2","0.02%"
"31","Adani Enterprises Ltd","3,578","0.07%"
"32","Sun Pharmaceutical Industries Ltd","1,052","1.81%"
"33","ICICI Bank Ltd","904.5","-0.47%"
"34","IndusInd Bank Ltd","1,138","-1.13%"
"35","Axis Bank Ltd","863.2","-0.98%"
"36","HCL Technologies Ltd","1,045","-1.42%"
"37","Bharti Airtel Ltd","809.9","-3.05%"
"38","Divis Laboratories Ltd","3,781","-1.42%"
"39","Maruti Suzuki India Ltd","9,228","-2.40%"
"40","Ultratech Cement Ltd","6,782","-0.45%"
"41","Tata Consultancy Services Ltd","3,243","-0.52%"
"42","NTPC Ltd","180.8","-0.52%"
"43","Tech Mahindra Ltd","1,082","0.94%"
"44","Power Grid Corporation Of India Ltd","233.2","-0.79%"
"45","Adani Ports and Special Economic Zone Ltd","833.9","-0.93%"
"46","Bajaj Auto Ltd","3,737","0.12%"
"47","Bajaj Finserv Ltd","1,711","0.15%"
"48","SBI Life Insurance Company Ltd","1,272","0.30%"
"49","HDFC Life Insurance Co Ltd","542.5","-0.37%"
"50","Coal India Ltd","245.2","-0.18%"
